//! STRINGS.TXT REFERENCE FILE: make a copy, remove this line, and follow the instructions to add/update languages -- Autogenerated, Last Updated: 2023-02-24T18:21:11.311260+00:00

//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'en' for English

////////////////////
// ::: Translation Info ::: //
//: ISO 639 code: ko
//: Language: Korean
//: Translator(s): VenusGirl (비너스걸)💋
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string

//? For the strings below which are short and have no context:
//?   "in" in context is shorthand for "inch"
//?   "cm" in context is shorthand for "centimeter"
//?   "C - R" in context is "Cyan Red" colors
//?   "M - G" in context is "Magenta Green" colors
//?   "Y - B" in context is "Yellow Blue" colors
//?   "yes"/"no" in context is for showing EXIF flags
//?   "on"/"off" in context is for showing a setting active or not
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	d개의 파일 이름 변경, %d개의 파일 복사, %d개의 폴더 생성
%s camera raw images (embedded JPEGs only)	%s 카메라 원시 이미지 (내장된 JPEG에만 해당)
%s images	%s 이미지
%s images (processed by Window Imaging Component - WIC)	%s 이미지 (Window Imaging Component - WIC에서 처리)
'My Pictures' folder	'내 사진' 폴더
About JPEGView (32-bit version)...	JPEGView (32비트 버전) 한국어 정보 - 번역: 비너스걸...
About JPEGView (64-bit version)...	JPEGView (64비트 버전) 한국어 정보 - 번역: 비너스걸...
Acquisition date:	촬영 날짜:
Actual size of image	이미지의 실제 크기
Align image to horizontal or vertical line	이미지를 수평선 또는 수직선에 맞추기
Alignment:	정렬
All Files	모든 파일
All existing user settings will be preserved.	기존의 모든 사용자 설정이 보존됩니다.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	또는 Windows 탐색기에서 지정된 유형의 이미지 파일을 마우스 오른쪽 버튼으로 클릭하고 '다음으로 열기...'를 선택... > 기본 프로그램 선택'
Altitude (m):	고도 (m):
Amount	양
Application:	응용 프로그램
Applications	응용 프로그램
Apply	적용
Apply Unsharp Mask	선명하지 않은 마스크 적용
Apply auto contrast correction using only visible section of image	이미지의 보이는 부분만 사용하여 자동 대비 보정 적용
Ascending	오름차순
Auto contrast and color correction	자동 대비 및 색상 보정
Auto crop corrected image (avoids black border)	보정된 이미지 자동 자르기 (검은 테두리 방지)
Auto crop rotated image (avoids black border)	회전된 이미지 자동 자르기 (검은색 테두리 사용 안 함)
Auto zoom mode	자동 확대/축소 모드
Back mouse button	마우스 뒤로 버튼
Batch rename/copy of files	일괄 파일 이름 바꾸기/복사
Blend	혼합
Bottom	맨 아래
Box	상자
Brightness	밝기
Browse...	찾아보기...
C - R	C - R
Camera model:	카메라 모델:
Can't rename file	파일 이름을 바꿀 수 없습니다
Cancel	취소
Cannot read from parameter DB file '%s'!	매개변수 DB 파일 '%s'에서 읽을 수 없습니다!
Cannot read parameter DB file '%s' because it is too large!	매개변수 DB 파일 '%s'이(가) 너무 커서 읽을 수 없습니다!
Cannot write to parameter DB file '%s'!	매개변수 DB 파일 '%s'에 쓸 수 없습니다!
Click and drag the mouse vertically to correct image tilt.	마우스를 클릭하고 수직으로 끌어서 이미지 기울기를 수정합니다.
Clipboard Image	클립보드 이미지
Close	닫기
Close help text display / Close JPEGView	도움말 표시 닫기 / JPEGView 닫기
Color Correction	색상 보정
Combine keys with '+'	키를 '+'와 결합
Confirm	확인
Confirm save default parameters	기본 매개변수 저장 확인
Conflicting entries in Param DB	매개변수 DB에서 충돌하는 항목
Continue rename/copy?	이름 바꾸기/복사를 계속하시겠습니까?
Contrast	대비
Contrast Correction	대비 보정
Copy file path of the image to clipboard	이미지의 파일 경로를 클립보드에 복사
Copy screen to clipboard/ Copy processed full size image to clipboard	화면을 클립보드로 복사/처리된 전체 크기 이미지를 클립보드로 복사
Copying parameter DB to file '%s' failed. Reason: %s	매개변수 DB를 '%s' 파일로 복사하지 못했습니다. 이유: %s
Correct converging lines (perspective correction)	수렴 선 수정 (원근 보정)
Creation date/time	만든 날짜/시각
Crop image	이미지 자르기
Ctrl + Left mouse	Ctrl + 왼쪽 마우스
Current image	현재 이미지
Cyan-Red	청록색-빨간색
Darken Highlights	하이라이트 어둡게
Date	날짜
Date placeholders use the modification date of the image.	날짜 자리 표시자는 이미지의 수정 날짜를 사용합니다.
Day / Month / Year (as numbers)	일 / 월 / 년 (숫자로)
Decoding this format requires the Microsoft Visual C++ Redistributable.	이 형식을 디코딩하려면 Microsoft Visual C++ 재배포 가능 파일이 필요합니다.
Deep Shadows	음영 깊게
Delete	삭제
Delete current file on disk permanently	현재 파일을 디스크에서 영구히 삭제
Delete image file	이미지 파일 삭제
Descending	내림차순
Display image (EXIF) information	이미지 정보 (EXIF) 표시
Do you really want to delete the current image file on disk?	디스크의 현재 이미지 파일을 삭제하시겠습니까?
Do you really want to permanently delete the file %filename%?	%filename% 파일을 영구적으로 삭제하시겠습니까?
Do you really want to save the following parameters as default to the INI file	다음 매개변수를 INI 파일에 기본값으로 저장하시겠습니까
Drag at the left or right border for asymmetric correction.	비대칭 보정을 위해 왼쪽 또는 오른쪽 테두리에서 끕니다.
EXIF date successfully set on %d images, failed on %d images	EXIF 날짜가 %d개 이미지에 설정되었습니다. %d개 이미지에 실패했습니다
Edit	편집
Enable/disable automatic contrast correction (histogram equalization)	자동 대비 보정 활성화/비활성화 (히스토그램 균등화)
Enable/disable automatic density correction (local brightness correction)	자동 농도 보정 활성화/비활성화 (국소 밝기 보정)
Enable/disable full screen mode	전체 화면 모드 활성화/비활성화
Enable/disable high quality resampling	고품질 재샘플링 활성화/비활성화
Enable/disable keeping of geometry related (zoom/pan/rotation)	지오메트리 관련 유지 활성화/비활성화 (확대/이동/회전)
Enable/disable landscape picture enhancement mode	가로 사진 향상 모드 활성화/비활성화
Error	오류
Error during rename/copy	이름 바꾸기/복사 중 오류
Error saving file	파일 저장 중 오류
Error while writing the following registry key	다음 레지스트리 키를 쓰는 동안 오류
Error writing file to disk!	디스크에 파일을 쓰는 동안 오류가 발생했습니다!
Example:	예:
Exposure bias (EV):	노출 보정 (EV):
Exposure time (s):	노출 시간 (초):
Extension	확장
Extracted number from original file name	원본 파일 이름에서 추출된 번호
F-Number:	F 번호:
File name	파일 이름
File size	파일 크기
File type	파일 유형
Fill paper with crop	자르기로 용지 채우기
Fill with crop	자르기로 채우기
Fill with crop (no zoom)	자르기로 채우기 (확대/축소 없음)
Filter:	필터
Fit image to screen	화면에 이미지 맞추기
Fit to paper	용지에 맞추기
Fit to screen	화면에 맞추기
Fit to screen (no zoom)	화면에 맞추기 (확대/축소 없음)
Flash fired:	플래시 발광:
Focal length (mm):	초점 거리 (mm):
Forward mouse button	마우스 앞으로 버튼
Full screen mode	전체 화면 모드
Goto first/last image of current folder (using sort order as defined)	현재 폴더의 첫 번째/마지막 이미지로 이동 (정의된 정렬 순서 사용)
Goto next image	다음 이미지로 이동
Goto previous image	이전 이미지로 이동
Height	높이
Hide histogram	히스토그램 숨기기
High quality resampling	고품질 리샘플링
Hour / Minute (as numbers)	시간/분 (숫자)
ISO Speed:	ISO 속도:
Image Pixels	이미지 픽셀
Image files in folder	폴더의 이미지 파일
Image height:	이미지 높이:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	무손실 변환을 위해서는 이미지 폭과 높이를 JPEG 블록 크기 (8 또는 16)로 나눌 수 있어야 합니다!
Image width:	이미지 너비:
Images	이미지
Increase/decrease auto color cast correction amount	자동 색상 보정량 증가/감소
Increase/decrease auto contrast correction amount	자동 대비 보정량 증가/감소
Increase/decrease brightness	밝기 증가/감소
Increase/decrease contrast	대비 증가/감소
Increase/decrease darkening of highlights (LDC must be on)	하이라이트의 어둡기 증가/감소 (부분 농도 보정이 켜져있어야 함)
Increase/decrease lightening of shadows (LDC must be on)	그림자의 밝기 증가/감소 (부분 농도 보정이 켜져있어야 함)
Increase/decrease sharpness	선명하게 증가/감소
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	레지스트리 항목에 대한 권한 (DACL)을 변경할 수 있는 권한이 부족합니다. 계속하시겠습니까?
JPEGView Help	JPEGView 도움말
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	JPEG View는 최소한의 GUI로 JPEG, BMP, PNG, WEBP, TGA, GIF 및 TIFF 이미지를 위한 얇고 빠르고 구성 가능한 뷰어/편집기입니다.
JPEGView is registered as default viewer for the selected file formats.	JPEGView는 선택한 파일 형식에 대한 기본 뷰어로 등록됩니다.
Keep aspect ratio on crop	자르기의 가로 세로 비율 유지
Keep parameters	매개변수 유지
Keep processing parameters between images	이미지 간 처리 매개변수 유지
Known keys:	알려진 키:
Lanczos/Bicubic	란초스/비큐빅
Landscape	가로
Landscape picture enhancement mode	가로 사진 향상 모드
Last modification date/time	마지막 수정한 날짜/시각
Left	왼쪽
Left mouse & drag	왼쪽 마우스 및 끌기
Licensed under the GNU general public license (GPL), see readme file for details	GNU 일반 공중 사용 허가서 (GPL)에 따라 라이선스가 부여되며, 자세한 내용은 readme 파일 참조
Lighten Shadows	음영 밝게
Local density correction	부분 밀도 보정
Location:	위치
Loop folder	폴더 순환
Loop recursively	반복 순환
Loop siblings	동기 순환
Loop through files in current directory and all sibling folders (folders on same level)	현재 디렉터리 및 모든 형제 폴더 (동일한 수준의 폴더)에 있는 파일 순환
Loop through files in current directory and all subfolders	현재 디렉터리 및 모든 하위 폴더의 파일 루프
Loop through files in current folder	현재 폴더의 파일 순환
Lossless JPEG transformations	무손실 JPEG 변환
M - G	M - G	
Magenta-Green	자홍색-녹색
Manage 'Open image with' menu...	''다음으로 이미지 열기' 메뉴 관리...
Margins:	여백:
